Creation , Production started , Production complete , Type
2.4440426583246784 , 2.4440426583246784 , 5.670567952126342 , 0
2.3573162904748735 , 2.3573162904748735 , 5.849411883385555 , 0
2.3657037834716 , 5.849411883385555 , 6.882086795686968 , 0
3.656795826922921 , 5.670567952126342 , 7.977010443128014 , 0
4.01081231583023 , 7.977010443128014 , 10.938194198974653 , 0
8.73790455295493 , 8.73790455295493 , 11.207480343283322 , 0
11.980609630559936 , 11.980609630559936 , 13.664014075624731 , 0
8.777924999906938 , 11.207480343283322 , 13.72114109477139 , 0
12.433886739929132 , 13.664014075624731 , 14.383745853430637 , 0
11.722675443989452 , 13.72114109477139 , 16.76424583755964 , 0
13.161356680820745 , 14.383745853430637 , 16.93991006609966 , 0
14.185894531827106 , 16.93991006609966 , 20.143601768804093 , 0
13.908464426984915 , 16.76424583755964 , 20.572857361944777 , 0
17.3306025621353 , 20.572857361944777 , 22.50522606339118 , 0
21.28128765563301 , 21.28128765563301 , 24.118218625919447 , 0
21.14710914206317 , 22.50522606339118 , 26.42064940695693 , 0
23.752721579546556 , 24.118218625919447 , 26.811080652046783 , 0
23.326127620635134 , 26.42064940695693 , 28.09504164640574 , 0
24.254798925335958 , 26.811080652046783 , 28.31954599482665 , 0
24.86293869070692 , 28.09504164640574 , 28.97217423238466 , 0
26.56644316651667 , 28.97217423238466 , 30.334878097832437 , 0
24.760162923892146 , 28.31954599482665 , 30.682727479253714 , 0
27.553362211820186 , 30.334878097832437 , 33.40919595807547 , 0
26.672790037720578 , 30.682727479253714 , 33.485601816646536 , 0
29.840962575090572 , 33.40919595807547 , 35.76682003703944 , 0
27.399579460612433 , 33.485601816646536 , 37.07839977942028 , 0
33.46361922281706 , 35.76682003703944 , 38.663645794995254 , 0
32.72448785372204 , 37.07839977942028 , 38.66740297625369 , 0
33.80353513283727 , 38.66740297625369 , 39.729486059612384 , 0
34.310748592842664 , 38.663645794995254 , 40.08457947957965 , 0
38.18584173492265 , 40.08457947957965 , 42.71757613333459 , 0
40.68432975806303 , 42.71757613333459 , 44.03091390309805 , 0
37.47750117435587 , 39.729486059612384 , 44.77075366778897 , 0
43.674289431220984 , 44.03091390309805 , 46.158420056001 , 0
39.07372788661234 , 44.77075366778897 , 47.42187441686534 , 0
42.22436765649718 , 47.42187441686534 , 47.43854108353201 , 0
45.21664589420465 , 46.158420056001 , 48.28719392563804 , 0
46.040437142384356 , 48.28719392563804 , 48.93857069843869 , 0
45.37898991270296 , 47.43854108353201 , 49.008158023761034 , 0
48.50498981533598 , 49.008158023761034 , 49.704438578698976 , 0
46.586035514530195 , 48.93857069843869 , 51.96721067930835 , 0
50.674981582442314 , 50.674981582442314 , 54.47671951979085 , 0
48.978176419520175 , 51.96721067930835 , 54.843275014095525 , 0
50.80484435514254 , 54.47671951979085 , 56.6940024689922 , 0
51.21459681542693 , 54.843275014095525 , 57.66366413272749 , 0
51.55781504594533 , 57.66366413272749 , 58.65299866900197 , 0
51.14718630610657 , 56.6940024689922 , 60.87699791787202 , 0
58.54948035859376 , 58.54948035859376 , 61.96815023015083 , 0
52.14376288924581 , 58.65299866900197 , 62.12303633965578 , 0
51.27135205437144 , 60.87699791787202 , 63.09021878161229 , 0
56.06084259644097 , 62.12303633965578 , 64.35068700053563 , 0
60.29505031172164 , 61.96815023015083 , 64.47487654333436 , 0
54.476932040935296 , 63.09021878161229 , 65.72061289200904 , 0
61.08906001682418 , 64.47487654333436 , 66.01209448407914 , 0
61.23543913652897 , 66.01209448407914 , 67.39516433677525 , 0
61.495843470097356 , 67.39516433677525 , 67.41183100344192 , 0
56.39996381990116 , 64.35068700053563 , 68.19677217237559 , 0
62.0735915831706 , 67.41183100344192 , 69.07122342439366 , 0
56.17709058326534 , 65.72061289200904 , 69.7272704994602 , 0
65.42175766079019 , 69.07122342439366 , 70.60439938201588 , 0
58.07251969397068 , 68.19677217237559 , 70.82313375881334 , 0
57.359835059781375 , 69.7272704994602 , 71.37632739219067 , 0
59.74640166393603 , 70.82313375881334 , 72.9849475019941 , 0
61.69517761044909 , 71.37632739219067 , 74.30449951736492 , 0
66.54113019890748 , 70.60439938201588 , 74.43803346558477 , 0
63.55012915078554 , 72.9849475019941 , 74.91311370340745 , 0
63.43909833269796 , 74.30449951736492 , 75.08305705007125 , 0
67.2220629376403 , 74.91311370340745 , 75.31246286544913 , 0
72.78938378790193 , 75.31246286544913 , 77.63086371517258 , 0
67.1249248949416 , 75.08305705007125 , 78.24398680014868 , 0
67.83335524916242 , 74.43803346558477 , 78.52248814733632 , 0
74.93881292868151 , 77.63086371517258 , 79.63610873664281 , 0
68.88689574088066 , 78.52248814733632 , 81.01102112432488 , 0
72.20878351760992 , 78.24398680014868 , 81.6138601918983 , 0
71.06765487677214 , 81.01102112432488 , 83.20459130675614 , 0
74.60384362062108 , 83.20459130675614 , 83.64409466040897 , 0
77.36623895643547 , 81.6138601918983 , 85.05219862909911 , 0
77.98144083680005 , 85.05219862909911 , 86.98334126057186 , 0
81.8627036845867 , 83.64409466040897 , 87.22880287175342 , 0
85.7583266606891 , 85.7583266606891 , 88.46789693531785 , 0
82.51761594275531 , 86.98334126057186 , 90.37765531340406 , 0
83.17160891897296 , 87.22880287175342 , 90.95898108130578 , 0
85.13451488251685 , 90.37765531340406 , 92.73124679285135 , 0
83.39455328356914 , 90.95898108130578 , 94.21856044978179 , 0
85.5782535150719 , 92.73124679285135 , 94.50301268372715 , 0
84.85938366370029 , 94.21856044978179 , 96.08507292150708 , 0
